"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000136542.9",3725.95474647061,2.64612612246958,0.73796679954221,3.58569806136411,0.000336177743767677,0.0303617585746829
"ENSG00000137251.16",95.3310612704099,4.76594723867387,1.12649773385267,4.23076504767935,2.32897838951846e-05,0.00741129669604091
"ENSG00000137440.5",561.363064262468,4.48155522785094,1.01670047663978,4.40794052016437,1.04358193335191e-05,0.00460640431774867
"ENSG00000137460.9",924.283805821863,1.56593808401136,0.467546999674694,3.34926346463756,0.00081026707034329,0.0468807165202639
"ENSG00000137860.12",63.6450522255519,4.64952972614007,1.14535896241917,4.05945199600968,4.91880184316136e-05,0.011278303558399
"ENSG00000138162.19",2788.00261543617,1.44129327177901,0.37720336553616,3.82099791111447,0.000132912778079806,0.0185097749309435
"ENSG00000139800.8",25.304079603988,6.471067244783,1.6558911234526,3.90790623437281,9.30994215258208e-05,0.0153485052343201
"ENSG00000139874.6",666.512750685818,3.0846796645738,0.861622370066249,3.58008307553183,0.000343484987356102,0.0306283062342212
"ENSG00000140284.11",288.488656776055,2.31543902297593,0.671038788748486,3.45052933123929,0.000559488367288924,0.0389766822748823
"ENSG00000141232.5",5272.68452330023,1.54600737960901,0.382248955854801,4.04450386568556,5.24340432838104e-05,0.0114082031777524
"ENSG00000142623.11",3161.21354127123,3.78209287647559,1.12061813682101,3.37500594734678,0.000738140956512193,0.0444949417552184
"ENSG00000143375.15",7325.32027408602,1.65584006944147,0.493772166779576,3.35344958838202,0.00079810950913213,0.0462751333398708
"ENSG00000143590.14",327.684066587455,2.27297262523232,0.667626868137972,3.40455534926523,0.000662718683378216,0.0419829217778047
"ENSG00000143776.18",5189.4028826778,1.04752727813559,0.301497853366588,3.4744104027232,0.000511977313583813,0.0373706334547529
"ENSG00000143850.16",5488.85139186141,1.51151564398002,0.401911769738848,3.76081458117577,0.000169360937960543,0.0205995590629608
"ENSG00000144452.15",225.690875423775,4.21972700293501,0.861169117919179,4.8999980551219,9.58376040188545e-07,0.0010491150836736
"ENSG00000144820.8",126.927228004286,4.11114084843639,1.17178160970739,3.50845312332817,0.000450720656749242,0.0352817778426623
"ENSG00000145384.4",41.7470703671701,5.94048985335244,1.65356016011394,3.5925453434625,0.00032746365041926,0.0300728111443755
"ENSG00000145681.11",107.690680247416,3.49939962148747,0.937024215191939,3.73458824729589,0.000188022554493328,0.0218962265907187
"ENSG00000146054.18",420.306522411675,2.3484110207788,0.681345881511927,3.44672373386568,0.000567428507985704,0.0392832874029999
"ENSG00000147676.14",10650.9546574475,1.77221685455095,0.507249730547935,3.49377584220022,0.000476240707792028,0.036304399582575
"ENSG00000147689.16",2379.12435908205,4.41506147139702,1.09530894308004,4.0308823362491,5.55678580261893e-05,0.0118006739106029
"ENSG00000147804.10",2880.62491948323,2.1528798801943,0.644937070249795,3.33812394961333,0.000843461147351684,0.04821359226065
"ENSG00000148826.9",41.5807865816138,5.75333737063049,1.70626125366868,3.37189709855983,0.000746523345955867,0.0449013283709323
"ENSG00000149260.18",7144.4925924417,1.94287600278552,0.547132429841015,3.55101598227339,0.000383747113154599,0.0323138684483136
"ENSG00000151012.13",850.304140906718,2.88664735610287,0.629900742168082,4.58270194470195,4.59006069247159e-06,0.00278263788325587
"ENSG00000151715.8",2400.24157491186,2.4131026383024,0.6192352121673,3.89690797759486,9.74286173981458e-05,0.0159660417505093
"ENSG00000156453.14",8108.67108584937,1.41876151532031,0.399835004125833,3.54836745327534,0.000387627039079961,0.0325404576027647
"ENSG00000157214.14",2300.53361264162,1.38156643842285,0.385389856138048,3.58485418445462,0.000337266584086806,0.0303617585746829
"ENSG00000158373.8",741.781818771646,2.44001145392933,0.559412511480139,4.36173915287192,1.29032651136298e-05,0.00500998264674156
"ENSG00000159263.16",282.580322657023,3.9419203122536,0.860912778696335,4.57876849989703,4.677214989943e-06,0.00278263788325587
"ENSG00000160181.9",10587.7309048084,5.27017694427294,1.14963727017686,4.58420849861816,4.55709342807885e-06,0.00278263788325587
"ENSG00000160182.3",21269.2683240623,4.2660173295443,1.12477210121553,3.79278373364175,0.00014896788714658,0.0196000200362522
"ENSG00000160606.11",445.720152110404,1.79960242963867,0.465203557409064,3.86841932091297,0.000109543168803909,0.0168419544980707
"ENSG00000160868.15",62.4995461003808,3.91875248228464,1.03504383236173,3.78607394176049,0.000153046151375812,0.0196344179961166
"ENSG00000161798.7",3666.59586818901,4.16985786381116,0.98375857403201,4.23870040260049,2.24817442788855e-05,0.00723832818447365
"ENSG00000162078.11",1822.18670811051,2.82127454097016,0.801379924766403,3.52052060923854,0.000430700520947934,0.0343643765503851
"ENSG00000162460.7",25.0985132453544,3.69895305700509,1.09051515265954,3.39193182963492,0.000694017050438325,0.0430684004973824
"ENSG00000162482.5",1384.4300143705,2.63088469712076,0.729963504849501,3.60413182253979,0.000313198075307734,0.0294546107455215
"ENSG00000162543.6",870.499808951941,1.74530992165654,0.5182867155235,3.36746026741911,0.000758639572862627,0.0451341069359381
"ENSG00000162545.6",7222.77339522366,1.42487686717299,0.391533161738934,3.63922396980277,0.000273460885989619,0.0269626605500968
"ENSG00000163283.7",110.700242041918,7.79812262758626,1.59666319628786,4.88401226114336,1.03948606621034e-06,0.00109413904515302
"ENSG00000163286.9",96.102640568824,6.3370709538968,1.40392500544425,4.51382440609177,6.36689379711346e-06,0.00339357352609212
"ENSG00000163295.5",35.2690175537797,6.14492311652172,1.63747064265175,3.75269208281531,0.0001749456895957,0.0209988538910769
"ENSG00000163501.7",788.554607303513,3.64651902278241,0.905162211676471,4.0285807071294,5.61145971055439e-05,0.0118006739106029
"ENSG00000163586.10",109.10166741356,5.92923170840079,1.49001433039278,3.97931186798572,6.91150277501595e-05,0.0127802092191798
"ENSG00000163624.6",1949.82215667316,1.40777886734838,0.38847656326885,3.62384504100473,0.000290255544859624,0.0282684110184104
"ENSG00000163993.7",13816.5333350798,3.4071130029348,0.927901008580736,3.67184966006894,0.000240801330690675,0.0252574985008341
"ENSG00000164078.13",4159.41096599186,2.17898667819468,0.629149027031793,3.46338718582262,0.000533420223267571,0.0379629577028955
"ENSG00000164237.9",2521.96755759711,1.83988468713002,0.424948019403842,4.32966999048776,1.49332958887222e-05,0.00552269606198189
"ENSG00000164379.7",3282.61174903539,2.13467384327556,0.632018852809577,3.37754773261285,0.000731352587078217,0.0442920956881339
"ENSG00000164816.8",22.679073004172,20.783740819835,3.16521179635047,6.56630334936795,5.15796869393703e-11,2.82316258493949e-07
"ENSG00000165807.8",216.864796877447,1.62614790455007,0.457016515697606,3.55818192274268,0.000373430646987023,0.031928609296134
"ENSG00000166126.11",1493.81980944779,3.08619361691871,0.814492676864207,3.78909928177689,0.000151194484342611,0.0196344179961166
"ENSG00000166143.10",369.072103065864,4.15426005999424,0.813171225571072,5.10871502748612,3.24357127246988e-07,0.000493148972298241
"ENSG00000166391.15",166.318000547607,4.34223126722694,1.0905080340626,3.98184252806491,6.83830823498332e-05,0.0127308830929788
"ENSG00000166535.20",495.427044105375,6.37566178131396,1.35507050328392,4.70504063505402,2.53815394450731e-06,0.00193784677516984
"ENSG00000166589.13",46.0845440311087,3.93536241760255,1.15369162634147,3.4111042567607,0.000647003471538114,0.0415646572901023
"ENSG00000166866.13",823.746631733395,3.10774088182553,0.933080290924973,3.33062536209482,0.000866511363126307,0.0488655432940275
"ENSG00000166869.3",71.6087468230442,6.33220709579479,1.6296134956383,3.8857110061638,0.000102030826164395,0.0160864243512151
"ENSG00000166897.16",461.766173012773,2.69118281092964,0.752120289312017,3.57812819195628,0.000346063719542757,0.0306283062342212
"ENSG00000166959.8",941.137214166572,3.45311876687805,0.933847014884156,3.69773497354533,0.000217531828268125,0.0238127741768551
"ENSG00000167653.5",8224.11371784175,6.62620014378924,1.17004686470707,5.66319208542829,1.48582672905857e-08,4.13933766615753e-05
"ENSG00000167656.5",1045.26095414723,6.2511936493346,1.42017314910057,4.40171232169377,1.07399897637712e-05,0.00461290620003415
"ENSG00000167754.13",68.8026506604052,5.70248703685384,1.67839589097665,3.3975816239252,0.000679843034250648,0.0424777724162956
"ENSG00000167755.15",1700.54114659771,3.67707396895521,1.05776542881715,3.47626597426909,0.000508447763128684,0.0373706334547529
"ENSG00000168078.10",237.900284985007,1.81610044779321,0.517679389375356,3.50815675699309,0.00045122308784053,0.0352817778426623
"ENSG00000168453.15",938.432546657486,2.19840771643761,0.599357157472672,3.66794270999901,0.000244509950869821,0.0253554261420964
"ENSG00000168631.13",12474.9701616622,5.33282990016626,1.26841481225953,4.20432641484725,2.61860811458629e-05,0.00770574712600891
"ENSG00000168907.13",199.2891365141,2.89492138753198,0.765511338037176,3.78168322752051,0.000155771504381828,0.0197361053723032
"ENSG00000169247.14",239.002614887125,2.56653330953896,0.594821126760092,4.31479850676876,1.5974854172696e-05,0.00567771213174247
"ENSG00000169684.13",113.804963914774,2.41571840507967,0.589909740899763,4.09506444391828,4.22050974549269e-05,0.0105965770830182
"ENSG00000170231.16",156.465614767306,4.58110969777003,1.09327666408601,4.1902565455377,2.78639235492866e-05,0.00802686311340344
"ENSG00000170537.13",712.839042598087,1.83657936910266,0.549996447069503,3.33925678772715,0.000840028733127464,0.0481951076299776
"ENSG00000170545.17",1288.74046292801,1.69099456185835,0.48670697115967,3.47435862245664,0.000512076133501382,0.0373706334547529
"ENSG00000170786.12",1830.52081039069,2.81873845921336,0.819895092648722,3.43792575963255,0.000586188388624861,0.0397198683758268
"ENSG00000171243.8",159.36181540279,3.63816375578859,1.05362761728292,3.45298822478727,0.000554413203405487,0.0388349328197647
"ENSG00000171346.16",1024.9349633691,2.65932984833665,0.786900340398354,3.37950018802942,0.000726177577066685,0.0442612511171135
"ENSG00000172031.7",165.155870084817,2.00040767132569,0.599285486495822,3.33798784786629,0.000843874399563393,0.04821359226065
"ENSG00000172478.18",583.543819666804,3.0827359347244,0.710454210484206,4.33910572874693,1.43063686091476e-05,0.0053633204072129
"ENSG00000172818.10",343.518377873356,2.8385325235658,0.778569636837377,3.64582998008526,0.00026653015884278,0.0268166575626852
"ENSG00000172927.8",2781.56751349857,3.06399418594099,0.842030077135555,3.63881798185189,0.000273892292429067,0.0269626605500968
"ENSG00000173467.9",2098.93212652126,3.09091338302086,0.828591090074519,3.73032418529009,0.000191233550746057,0.0220379839060117
"ENSG00000173557.15",198.127894798103,3.3307037153766,0.718888791049897,4.6331279007874,3.60181856208295e-06,0.00243601462619627
"ENSG00000173702.7",10996.233053575,3.73259627765565,0.77311955898988,4.82796772407682,1.37933441805587e-06,0.0013481516078191
"ENSG00000174564.13",570.600312111511,3.42566805072345,0.996740144136159,3.43687175727467,0.000588474161033998,0.03976487003708
"ENSG00000174607.11",1383.93639127465,1.59013037837191,0.467710674270544,3.39981630919997,0.000674311367395325,0.0423254109896969
"ENSG00000175311.7",640.418057941581,3.15318624692639,0.771427595795926,4.08746882288164,4.36105260815617e-05,0.0107521555610279
"ENSG00000175318.12",183.818491793127,1.93660250897751,0.568941200001251,3.40387110121969,0.000664380972271527,0.0419910255615586
"ENSG00000175832.13",1752.46679760575,2.15105984069635,0.612000347135826,3.51480166761891,0.000440082523581136,0.034808492551575
"ENSG00000177202.3",60.9369516456299,3.13963425982643,0.799182476103826,3.92855743676059,8.54569417097998e-05,0.0144364205171117
"ENSG00000178462.12",22.9575398314037,4.51737004278731,1.16588434543655,3.87462964098369,0.000106786982532163,0.0165109567850718
"ENSG00000178597.7",292.78839749753,5.54296752066839,1.40167948848067,3.95451853738448,7.66889260736811e-05,0.0135047126124689
"ENSG00000179066.8",37.8733086953614,3.78654242754053,0.882122418287937,4.29253621610663,1.76643726851319e-05,0.00611925173764563
"ENSG00000179148.10",45.5905319628274,2.55573231204209,0.753647058914511,3.39115277079851,0.000695992934445967,0.0430933000836715
"ENSG00000179292.5",210.184446648784,3.43861068026168,0.891797351230187,3.85582069235606,0.000115342011998882,0.0172521061265481
"ENSG00000179546.4",313.812865439224,2.78906524460653,0.695215807548483,4.01179779620018,6.0258102783209e-05,0.0120094639678217
"ENSG00000179674.4",1543.77324284522,2.91971991087622,0.847930517152975,3.44334807134848,0.00057455931567107,0.0392832874029999
